"Timestamp","Should the mods be more active?","Should discussion & tutorial threads be a more regular thing?","Should posters be required to post their customisation information?","Should OC posts like ""I made an gtk-them/icon-theme/cool-script"" be encouraged?","Should we hold more regular contests?","Should hosting Imgur be a requirement?","Should ""fapping"" (not including ""porn"" or ""sex[y]"") be dropped from the sub?"
"2014/05/22 1:20:46 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","Indifferent","No"
"2014/05/22 1:20:52 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","Indifferent","No"
"2014/05/22 1:22:17 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/22 1:49:44 pm CET","Indifferent","Yes","Yes, but however they want","Indifferent","Indifferent","Yes","Yes"
"2014/05/22 1:58:04 pm CET","Indifferent","Yes","Yes, but however they want","Indifferent","Indifferent","No","Indifferent"
"2014/05/22 1:58:18 pm CET","Indifferent","Yes","Yes, but however they want","Indifferent","Indifferent","No","Yes"
"2014/05/22 2:01:23 pm CET","Yes","Yes","Yes, but with a predefined template","Indifferent","Yes","Yes","Indifferent"
"2014/05/22 2:05:10 pm CET","No","Yes","Yes, but however they want","Yes","Indifferent","Yes","No"
"2014/05/22 2:26:34 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No","No"
"2014/05/22 2:27:55 pm CET","Indifferent","No","Yes, but however they want","Indifferent","Yes","No, but don't allow all hosts","Indifferent"
"2014/05/22 2:28:26 pm CET","Indifferent","Yes","No","Yes","Indifferent","No","No"
"2014/05/22 2:28:42 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","Indifferent","Indifferent"
"2014/05/22 2:31:35 pm CET","Yes","Yes","Yes, but with a predefined template","Yes","No","Yes","Yes"
"2014/05/22 2:35:13 pm CET","Yes","Yes","No","Yes","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/22 2:42:02 pm CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","No"
"2014/05/22 2:42:05 pm CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","Yes","Indifferent"
"2014/05/22 2:42:11 pm CET","Indifferent","Yes","Indifferent","No","Yes","No, but don't allow all hosts","No"
