"Timestamp","Should the mods be more active?","Should discussion & tutorial threads be a more regular thing?","Should posters be required to post their customisation information?","Should OC posts like ""I made an gtk-them/icon-theme/cool-script"" be encouraged?","Should we hold more regular contests?","Should hosting Imgur be a requirement?","Should ""fapping"" (not including ""porn"" or ""sex[y]"") be dropped from the sub?"
"2014/05/21 11:46:46 pm CET","Indifferent","Yes","No","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/21 11:49:35 pm CET","Indifferent","Yes","No","Yes","Yes","Yes","Yes"
"2014/05/21 11:59:58 pm CET","Yes","Yes","No","Indifferent","Yes","Yes","Yes"
"2014/05/21 11:59:58 pm CET","Yes","Yes","Yes, but however they want","Yes","Yes","Yes","Yes"
"2014/05/22 12:13:01 am CET","Indifferent","Yes","Indifferent","Yes","Yes","Yes","Indifferent"
"2014/05/22 12:20:19 am CET","Indifferent","Yes","Yes, but with a predefined template","Indifferent","Indifferent","Yes","Indifferent"
"2014/05/22 12:22:09 am CET","No","Indifferent","No","Indifferent","No","Indifferent","No"
"2014/05/22 12:26:24 am CET","Indifferent","No","Yes, but however they want","Yes","No","Yes","No"
"2014/05/22 12:28:57 am CET","Indifferent","Yes","Yes, but however they want","No","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/22 12:48:40 am CET","Yes","Yes","Yes, but with a predefined template","Indifferent","Yes","Indifferent","No"
"2014/05/22 12:50:34 am CET","No","Yes","Yes, but however they want","Yes","Yes","No","No"
"2014/05/22 12:57:05 am CET","No","Yes","Yes, but however they want","Yes","Yes","Yes","Indifferent"
"2014/05/22 1:07:41 am CET","No","Yes","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/22 1:16:45 am CET","Yes","Indifferent","No","No","Yes","No","Indifferent"
"2014/05/22 1:22:04 am CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/22 1:32:49 am CET","No","Yes","Yes, but with a predefined template","Yes","Indifferent","Yes","No"
"2014/05/22 1:35:35 am CET","Yes","Yes","No","Indifferent","Yes","No, but don't allow all hosts","Indifferent"
"2014/05/22 1:39:12 am CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/22 1:42:16 am CET","Yes","Yes","Yes, but with a predefined template","Indifferent","Yes","Yes","Yes"
"2014/05/22 1:52:11 am CET","Yes","Yes","Yes, but however they want","Indifferent","Yes","No, but don't allow all hosts","Yes"
"2014/05/22 1:52:57 am CET","Indifferent","Yes","No","Indifferent","Indifferent","Yes","No"
"2014/05/22 2:00:02 am CET","Indifferent","Yes","Yes, but with a predefined template","Yes","No","No","Indifferent"
"2014/05/22 2:01:40 am CET","Indifferent","Yes","Yes, but however they want","Indifferent","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/22 2:02:11 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Yes","Yes"
"2014/05/22 2:11:47 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/22 2:14:35 am CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/22 2:19:58 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","No"
"2014/05/22 2:23:10 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","Yes"
"2014/05/22 2:56:43 am CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","Yes","Indifferent"
"2014/05/22 3:10:24 am CET","Indifferent","Indifferent","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/22 3:16:59 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","Yes","Indifferent"
"2014/05/22 3:18:29 am CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/22 3:31:43 am CET","Yes","Yes","No","Yes","Yes","Yes","Indifferent"
"2014/05/22 3:34:41 am CET","Indifferent","Yes","Yes, but however they want","Yes","Indifferent","Yes","No"
"2014/05/22 3:40:14 am CET","Indifferent","Indifferent","Yes, but with a predefined template","Yes","No","Yes","Yes"
"2014/05/22 3:44:53 am CET","Indifferent","Yes","Yes, but with a predefined template","No","Yes","Yes","Indifferent"
"2014/05/22 4:16:37 am CET","Indifferent","Yes","Yes, but however they want","Indifferent","Yes","No, but don't allow all hosts","Yes"
"2014/05/22 4:34:21 am CET","Yes","No","Yes, but with a predefined template","No","Yes","No, but don't allow all hosts","Indifferent"
"2014/05/22 4:40:20 am CET","Indifferent","Yes","No","Yes","Yes","Yes","Indifferent"
"2014/05/22 4:41:26 am CET","Indifferent","Yes","Yes, but however they want","Indifferent","Yes","Indifferent","No"
"2014/05/22 4:45:49 am CET","Yes","Yes","Yes, but however they want","Yes","Yes","No","Yes"
"2014/05/22 4:57:16 am CET","Yes","Yes","Yes, but with a predefined template","Yes","No","Yes","Indifferent"
"2014/05/22 5:01:42 am CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Yes","Yes","Yes"
"2014/05/22 5:09:02 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","No, but don't allow all hosts","No"
"2014/05/22 5:16:09 am CET","Yes","Yes","No","Yes","No","No, but don't allow all hosts","Yes"
"2014/05/22 5:17:58 am CET","No","Yes","Yes, but however they want","Yes","Indifferent","No","No"
"2014/05/22 5:29:35 am CET","No","Yes","No","Indifferent","Yes","No, but don't allow all hosts","Indifferent"
"2014/05/22 5:30:59 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","Yes","Yes"
"2014/05/22 5:34:47 am CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/22 5:36:23 am CET","Indifferent","No","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","Indifferent"
"2014/05/22 5:44:17 am CET","Indifferent","Yes","Yes, but with a predefined template","Indifferent","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/22 6:01:17 am CET","Indifferent","Indifferent","Yes, but however they want","Yes","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/22 6:02:24 am CET","Indifferent","Yes","Yes, but however they want","Indifferent","No","Yes","No"
"2014/05/22 6:03:47 am CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","Yes","Yes"
"2014/05/22 6:12:02 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No","Indifferent"
"2014/05/22 6:12:48 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","Indifferent"
"2014/05/22 6:20:29 am CET","Yes","Yes","Yes, but with a predefined template","Yes","Yes","Yes","Yes"
"2014/05/22 6:27:48 am CET","Indifferent","No","Yes, but with a predefined template","Yes","Indifferent","Yes","Yes"
"2014/05/22 6:30:55 am CET","Indifferent","Yes","Yes, but with a predefined template","Yes","Indifferent","No, but don't allow all hosts","Yes"
"2014/05/22 6:32:37 am CET","Indifferent","Yes","Yes, but however they want","Yes","Yes","No, but don't allow all hosts","Indifferent"
